model: linear, C: 1, pre1: [0], pre2: [0], acc: 0.6929955290611028
model: linear, C: 5, pre1: [0], pre2: [0], acc: 0.6870342771982116
model: linear, C: 10, pre1: [0], pre2: [0], acc: 0.6944858420268256
model: linear, C: 50, pre1: [0], pre2: [0], acc: 0.6706408345752608
model: linear, C: 100, pre1: [0], pre2: [0], acc: 0.7228017883755589
model: linear, C: 1024, pre1: [0], pre2: [0], acc: 0.706408345752608
model: linear, C: 32768, pre1: [0], pre2: [0], acc: 0.7168405365126677
model: poly, C: 1, degree: 1,  pre1: [0], pre2: [0], acc: 0.789865871833085
model: poly, C: 1, degree: 3,  pre1: [0], pre2: [0], acc: 0.7660208643815202
model: poly, C: 1, degree: 5,  pre1: [0], pre2: [0], acc: 0.7719821162444114
model: poly, C: 1, degree: 9,  pre1: [0], pre2: [0], acc: 0.7690014903129657
model: poly, C: 5, degree: 1,  pre1: [0], pre2: [0], acc: 0.7883755588673621
model: poly, C: 5, degree: 3,  pre1: [0], pre2: [0], acc: 0.7734724292101341
model: poly, C: 5, degree: 5,  pre1: [0], pre2: [0], acc: 0.7481371087928465
model: poly, C: 5, degree: 9,  pre1: [0], pre2: [0], acc: 0.7704918032786885
model: poly, C: 10, degree: 1,  pre1: [0], pre2: [0], acc: 0.7451564828614009
model: poly, C: 10, degree: 3,  pre1: [0], pre2: [0], acc: 0.7928464977645305
model: poly, C: 10, degree: 5,  pre1: [0], pre2: [0], acc: 0.7466467958271237
model: poly, C: 10, degree: 9,  pre1: [0], pre2: [0], acc: 0.797317436661699
model: poly, C: 50, degree: 1,  pre1: [0], pre2: [0], acc: 0.7704918032786885
model: poly, C: 50, degree: 3,  pre1: [0], pre2: [0], acc: 0.8002980625931445
model: poly, C: 50, degree: 5,  pre1: [0], pre2: [0], acc: 0.7943368107302533
model: poly, C: 50, degree: 9,  pre1: [0], pre2: [0], acc: 0.7883755588673621
model: poly, C: 100, degree: 1,  pre1: [0], pre2: [0], acc: 0.7704918032786885
model: poly, C: 100, degree: 3,  pre1: [0], pre2: [0], acc: 0.7809239940387481
model: poly, C: 100, degree: 5,  pre1: [0], pre2: [0], acc: 0.7809239940387481
model: poly, C: 100, degree: 9,  pre1: [0], pre2: [0], acc: 0.767511177347243
model: poly, C: 1024, degree: 1,  pre1: [0], pre2: [0], acc: 0.7913561847988078
model: poly, C: 1024, degree: 3,  pre1: [0], pre2: [0], acc: 0.7585692995529061
model: poly, C: 1024, degree: 5,  pre1: [0], pre2: [0], acc: 0.7794336810730254
model: poly, C: 1024, degree: 9,  pre1: [0], pre2: [0], acc: 0.8107302533532041
model: poly, C: 32768, degree: 1,  pre1: [0], pre2: [0], acc: 0.7645305514157973
model: poly, C: 32768, degree: 3,  pre1: [0], pre2: [0], acc: 0.7794336810730254
model: poly, C: 32768, degree: 5,  pre1: [0], pre2: [0], acc: 0.8107302533532041
model: poly, C: 32768, degree: 9,  pre1: [0], pre2: [0], acc: 0.7719821162444114
model: rbf, C: 1, gamma: 1,  pre1: [0], pre2: [0], acc: 0.8628912071535022
model: rbf, C: 1, gamma: 2,  pre1: [0], pre2: [0], acc: 0.8330849478390462
model: rbf, C: 1, gamma: 3,  pre1: [0], pre2: [0], acc: 0.8763040238450075
model: rbf, C: 1, gamma: 4,  pre1: [0], pre2: [0], acc: 0.849478390461997
model: rbf, C: 1, gamma: 5,  pre1: [0], pre2: [0], acc: 0.842026825633383
model: rbf, C: 1, gamma: 6,  pre1: [0], pre2: [0], acc: 0.8614008941877794
model: rbf, C: 1, gamma: 7,  pre1: [0], pre2: [0], acc: 0.8912071535022354
model: rbf, C: 1, gamma: 8,  pre1: [0], pre2: [0], acc: 0.8524590163934426
model: rbf, C: 1, gamma: 9,  pre1: [0], pre2: [0], acc: 0.8628912071535022
model: rbf, C: 5, gamma: 1,  pre1: [0], pre2: [0], acc: 0.8479880774962743
model: rbf, C: 5, gamma: 2,  pre1: [0], pre2: [0], acc: 0.8688524590163934
model: rbf, C: 5, gamma: 3,  pre1: [0], pre2: [0], acc: 0.849478390461997
model: rbf, C: 5, gamma: 4,  pre1: [0], pre2: [0], acc: 0.8643815201192251
model: rbf, C: 5, gamma: 5,  pre1: [0], pre2: [0], acc: 0.8748137108792846
model: rbf, C: 5, gamma: 6,  pre1: [0], pre2: [0], acc: 0.8748137108792846
model: rbf, C: 5, gamma: 7,  pre1: [0], pre2: [0], acc: 0.8554396423248882
model: rbf, C: 5, gamma: 8,  pre1: [0], pre2: [0], acc: 0.8450074515648286
model: rbf, C: 5, gamma: 9,  pre1: [0], pre2: [0], acc: 0.8673621460506706
model: rbf, C: 10, gamma: 1,  pre1: [0], pre2: [0], acc: 0.8464977645305514
model: rbf, C: 10, gamma: 2,  pre1: [0], pre2: [0], acc: 0.8673621460506706
model: rbf, C: 10, gamma: 3,  pre1: [0], pre2: [0], acc: 0.8464977645305514
model: rbf, C: 10, gamma: 4,  pre1: [0], pre2: [0], acc: 0.8375558867362146
model: rbf, C: 10, gamma: 5,  pre1: [0], pre2: [0], acc: 0.8375558867362146
model: rbf, C: 10, gamma: 6,  pre1: [0], pre2: [0], acc: 0.8599105812220567
model: rbf, C: 10, gamma: 7,  pre1: [0], pre2: [0], acc: 0.8658718330849479
model: rbf, C: 10, gamma: 8,  pre1: [0], pre2: [0], acc: 0.8688524590163934
model: rbf, C: 10, gamma: 9,  pre1: [0], pre2: [0], acc: 0.8673621460506706
model: rbf, C: 50, gamma: 1,  pre1: [0], pre2: [0], acc: 0.8539493293591655
model: rbf, C: 50, gamma: 2,  pre1: [0], pre2: [0], acc: 0.856929955290611
model: rbf, C: 50, gamma: 3,  pre1: [0], pre2: [0], acc: 0.8628912071535022
model: rbf, C: 50, gamma: 4,  pre1: [0], pre2: [0], acc: 0.8405365126676602
model: rbf, C: 50, gamma: 5,  pre1: [0], pre2: [0], acc: 0.8479880774962743
model: rbf, C: 50, gamma: 6,  pre1: [0], pre2: [0], acc: 0.8777943368107303
model: rbf, C: 50, gamma: 7,  pre1: [0], pre2: [0], acc: 0.8390461997019374
model: rbf, C: 50, gamma: 8,  pre1: [0], pre2: [0], acc: 0.8807749627421758
model: rbf, C: 50, gamma: 9,  pre1: [0], pre2: [0], acc: 0.8375558867362146
model: rbf, C: 100, gamma: 1,  pre1: [0], pre2: [0], acc: 0.8614008941877794
model: rbf, C: 100, gamma: 2,  pre1: [0], pre2: [0], acc: 0.8628912071535022
model: rbf, C: 100, gamma: 3,  pre1: [0], pre2: [0], acc: 0.8330849478390462
model: rbf, C: 100, gamma: 4,  pre1: [0], pre2: [0], acc: 0.8584202682563339
model: rbf, C: 100, gamma: 5,  pre1: [0], pre2: [0], acc: 0.8643815201192251
model: rbf, C: 100, gamma: 6,  pre1: [0], pre2: [0], acc: 0.8509687034277198
model: rbf, C: 100, gamma: 7,  pre1: [0], pre2: [0], acc: 0.8584202682563339
model: rbf, C: 100, gamma: 8,  pre1: [0], pre2: [0], acc: 0.8584202682563339
model: rbf, C: 100, gamma: 9,  pre1: [0], pre2: [0], acc: 0.8733233979135618
model: rbf, C: 1024, gamma: 1,  pre1: [0], pre2: [0], acc: 0.8524590163934426
model: rbf, C: 1024, gamma: 2,  pre1: [0], pre2: [0], acc: 0.8509687034277198
model: rbf, C: 1024, gamma: 3,  pre1: [0], pre2: [0], acc: 0.8599105812220567
model: rbf, C: 1024, gamma: 4,  pre1: [0], pre2: [0], acc: 0.8450074515648286
model: rbf, C: 1024, gamma: 5,  pre1: [0], pre2: [0], acc: 0.8807749627421758
model: rbf, C: 1024, gamma: 6,  pre1: [0], pre2: [0], acc: 0.8971684053651267
model: rbf, C: 1024, gamma: 7,  pre1: [0], pre2: [0], acc: 0.8554396423248882
model: rbf, C: 1024, gamma: 8,  pre1: [0], pre2: [0], acc: 0.8822652757078987
model: rbf, C: 1024, gamma: 9,  pre1: [0], pre2: [0], acc: 0.8450074515648286
model: rbf, C: 32768, gamma: 1,  pre1: [0], pre2: [0], acc: 0.8435171385991058
model: rbf, C: 32768, gamma: 2,  pre1: [0], pre2: [0], acc: 0.849478390461997
model: rbf, C: 32768, gamma: 3,  pre1: [0], pre2: [0], acc: 0.8628912071535022
model: rbf, C: 32768, gamma: 4,  pre1: [0], pre2: [0], acc: 0.8435171385991058
model: rbf, C: 32768, gamma: 5,  pre1: [0], pre2: [0], acc: 0.8405365126676602
model: rbf, C: 32768, gamma: 6,  pre1: [0], pre2: [0], acc: 0.8375558867362146
model: rbf, C: 32768, gamma: 7,  pre1: [0], pre2: [0], acc: 0.8673621460506706
model: rbf, C: 32768, gamma: 8,  pre1: [0], pre2: [0], acc: 0.8584202682563339
model: rbf, C: 32768, gamma: 9,  pre1: [0], pre2: [0], acc: 0.834575260804769
model: sigmoid, pre1: [0], pre2: [1], acc: 0.5484351713859911
